Id;Nama;Alamat;Media Sosial;Foto;KOTA
68;"Dian Puspitasari	";"Jl. Pahlawan No. 20, Kediri	";@dianpuspitasari;356-3568165_blank-profile-picture-female-44.png;Kediri
69;"Budi Hartono	";"Jl. Hayam Wuruk No. 15, Kediri	";@budihartono;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-47.png;Kediri
70;"Fajar Prasetyo	";"Jl. Pemuda No. 3, Kendal	";@fajarprasetyo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-48.png;Kendal
71;"Maya Sari	";"Jl. Kartini No. 7, Kendal	";@mayasari;356-3568165_blank-profile-picture-female-45.png;Kendal
72;"Dian Kurniawan	";"Jl. Merdeka No. 10, Klaten	";@diankurniawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-49.png;Klaten
73;"Indah Sari	";"Jl. Diponegoro No. 5, Klaten	";@indahsari;356-3568165_blank-profile-picture-female-46.png;Klaten
74;"Bambang Supriyadi	";"Jl. Sunan Kudus No. 12, Kudus	";@bambangsupriyadi;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-50.png;Kudus
75;"Rina Lestari	";"Jl. Agil Kusumadya No. 14, Kudus	";@rinalestari;356-3568165_blank-profile-picture-female-47.png;Kudus
76;"Eko Wahyudi	";"Jl. Mayor Ruslan No. 5, Lahat	";@ekowahyudi;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-51.png;Lahat
77;"Siti Komariah	";"Jl. Pangeran Diponegoro No. 8, Lahat	";@sitikomariah;356-3568165_blank-profile-picture-female-48.png;Lahat
78;"Andi Wijaya	";"Jl. Raden Intan No. 10, Bandar Lampung	";@andiwijaya;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-52.png;Lampung
79;"Fitri Handayani	";"Jl. ZA Pagar Alam No. 12, Bandar Lampung	";@fitrihandayani;356-3568165_blank-profile-picture-female-49.png;Lampung
80;"Yuni Mulyani	";"Jl. Jenderal Sudirman No. 15, Bandar Lampung	";@yunimulyani;356-3568165_blank-profile-picture-female-50.png;Lampung
81;"Agus Pramono	";"Jl. Sunan Drajat No. 10, Lamongan	";@aguspramono;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-53.png;Lamongan
82;"Desi Kurniawati	";"Jl. Basuki Rahmat No. 8, Lamongan	";@desikurniawati;356-3568165_blank-profile-picture-female-51.png;Lamongan
83;"Rudi Hartono	";"Jl. A. Yani No. 5, Magelang	";@rudihartono;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-54.png;Magelang
84;"Maya Triana	";"Jl. Jendral Sudirman No. 12, Magelang	";@mayatriana;356-3568165_blank-profile-picture-female-52.png;Magelang
85;"Siti Fadilah	";"Jl. Diponegoro No. 14, Magelang	";@sitifadilah;356-3568165_blank-profile-picture-female-53.png;Magelang
86;"Ahmad Hidayat	";"Jl. Pengayoman No. 10, Makassar	";@ahmadhidayat;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-55.png;Makasar
87;"Rina Sari	";"Jl. Pettarani No. 8, Makassar	";@rinasari;356-3568165_blank-profile-picture-female-54.png;Makasar
88;"Andi Rahmat	";"Jl. Sudirman No. 14, Makassar	";@andirahmat;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-56.png;Makasar
89;"Adi Susanto	";"Jl. Pahlawan No. 10, Madiun	";@adisusanto;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-57.png;Madiun
90;"Maya Widyaningsih	";"Jl. Merdeka No. 15, Madiun	";@mayawidyaningsih;356-3568165_blank-profile-picture-female-55.png;Madiun
91;"Agus Saputra	";"Jl. Raya Ketapang No. 8, Madura	";@agussaputra;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-58.png;Madura
92;"Rina Apriyani	";"Jl. Trunojoyo No. 12, Madura	";@rinaapriyani;356-3568165_blank-profile-picture-female-56.png;Madura
93;"Budi Raharjo	";"Jl. Sultan Agung No. 14, Madura	";@budiraharjo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-59.png;Madura
94;"Andi Kusuma	";"Jl. Ijen No. 5, Malang	";@andikusuma;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-60.png;Malang
95;"Fitriani Rahmawati	";"Jl. Semeru No. 10, Malang	";@fitrianirahmawati;356-3568165_blank-profile-picture-female-57.png;Malang
96;"Dian Suryani	";"Jl. Diponegoro No. 12, Malang	";@diansuryani;356-3568165_blank-profile-picture-female-58.png;Malang
97;"Yudi Prasetyo	";"Jl. Sam Ratulangi No. 10, Manado	";@yudiprasetyo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-61.png;Manado
98;"Indah Sari	";"Jl. Piere Tendean No. 15, Manado	";@indahsari;356-3568165_blank-profile-picture-female-59.png;Manado
99;"Eko Santoso	";"Jl. Ahmad Yani No. 20, Manado	";@ekosantoso;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-62.png;Manado
100;"Fajar Rahman	";"Jl. Pejanggik No. 10, Mataram	";@fajarrahman;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-63.png;Mataram
101;"Rini Oktaviani	";"Jl. Udayana No. 15, Mataram	";@rinioktaviani;356-3568165_blank-profile-picture-female-60.png;Mataram
102;"Agus Wiranto	";"Jl. Bung Karno No. 20, Mataram	";@aguswiranto;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-64.png;Mataram
103;"Farid Maulana	";"Jl. Gatot Subroto No. 20, Medan	";@faridmaulana;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-65.png;Medan
104;"Lestari Putri	";"Jl. Iskandar Muda No. 35, Medan	";@lestari.putri;356-3568165_blank-profile-picture-female-61.png;Medan
105;"Dani Pratama	";"Jl. Sisingamangaraja No. 15, Medan	";@danipratama;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-66.png;Medan
106;"Rina Handayani	";"Jl. Majapahit No. 12, Mojokerto	";@rinahandayani;356-3568165_blank-profile-picture-female-62.png;Mojokerto
107;"Agus Widodo	";"Jl. Benteng Pancasila No. 18, Mojokerto	";@aguswidodo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-67.png;Mojokerto
108;"Siti Aminah	";"Jl. Jenderal Sudirman No. 5, Pangkal Pinang	";@sitiaminah;356-3568165_blank-profile-picture-female-63.png;Pangkal Pinang
109;"Budi Setiawan	";"Jl. Depati Hamzah No. 10, Pangkal Pinang	";@budisetiawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-68.png;Pangkal Pinang
110;"Eka Putri	";"Jl. Merdeka No. 15, Pangkal Pinang	";@ekaputri;356-3568165_blank-profile-picture-female-64.png;Pangkal Pinang
111;"Dian Rahayu	";"Jl. Pahlawan No. 8, Pasuruan	";@dianrahayu;356-3568165_blank-profile-picture-female-65.png;Pasuruan
112;"Eko Saputra	";"Jl. Soekarno-Hatta No. 12, Pasuruan	";@ekosaputra;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-69.png;Pasuruan
113;"Arif Santoso	";"Jl. Sunan Muria No. 10, Pati	";@arifsantoso;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-70.png;Pati
114;"Maya Indriani	";"Jl. Tondano No. 15, Pati	";@mayaindriani;356-3568165_blank-profile-picture-female-66.png;Pati
115;"Yudi Kurniawan	";"Jl. Diponegoro No. 20, Pati	";@yudikurniawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-71.png;Pati
116;"Arif Wibowo	";"Jl. Diponegoro No. 5, Pekalongan	";@arifwibowo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-72.png;Pekalongan
117;"Desi Maharani	";"Jl. Pemuda No. 12, Pekalongan	";@desimaharani;356-3568165_blank-profile-picture-female-67.png;Pekalongan
118;"Agus Saputra	";"Jl. Sudirman No. 10, Pekanbaru	";@agussaputra;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-73.png;Pekanbaru
119;"Maya Sari	";"Jl. Tuanku Tambusai No. 15, Pekanbaru	";@mayasari;356-3568165_blank-profile-picture-female-68.png;Pekanbaru
120;"Budi Prasetyo	";"Jl. Diponegoro No. 20, Pekanbaru	";@budiprasetyo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-74.png;Pekanbaru
121;"Rina Kurniawati	";"Jl. Jendral Sudirman No. 7, Pemalang	";@rinakurniawati;356-3568165_blank-profile-picture-female-69.png;Pemalang
122;"Eko Prasetyo	";"Jl. A. Yani No. 10, Pemalang	";@ekoprasetyo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-75.png;Pemalang
123;"Dian Anggraini	";"Jl. Ahmad Yani No. 8, Pontianak	";@diananggraini;356-3568165_blank-profile-picture-female-70.png;Pontianak
124;"Rudi Hartono	";"Jl. Gajah Mada No. 12, Pontianak	";@rudihartono;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-76.png;Pontianak
125;"Fitri Handayani	";"Jl. Tanjungpura No. 20, Pontianak	";@fitrihandayani;356-3568165_blank-profile-picture-female-71.png;Pontianak
126;Andi Pratama;Jl. HOS Cokroaminoto No. 10, Ponorogo;@andipratama;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Ponorogo
127;Siti Aminah;Jl. Gajah Mada No. 15, Ponorogo;@sitiaminah;356-3568165_blank-profile-picture-female.png;Ponorogo
128;Agus Setiawan;Jl. Jendral Sudirman No. 5, Prabumulih;@agussetiawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Prabumulih
129;Indah Lestari;Jl. Letnan Muchtar No. 12, Prabumulih;@indahlestari;356-3568165_blank-profile-picture-female.png;Prabumulih
130;Arif Rahman;Jl. Diponegoro No. 10, Purworejo;@arifrahman;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Purworejo
131;Yuni Susanti;Jl. Ahmad Dahlan No. 8, Purworejo;@yunisusanti;356-3568165_blank-profile-picture-female.png;Purworejo
132;Budi Santoso;Jl. Sunan Bonang No. 5, Rembang;@budisantoso;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Rembang
133;Desi Wahyuni;Jl. Jendral Sudirman No. 12, Rembang;@desiwahyuni;356-3568165_blank-profile-picture-female.png;Rembang
134;Rina Handayani;Jl. Diponegoro No. 10, Salatiga;@rinahandayani;356-3568165_blank-profile-picture-female.png;Salatiga
135;Eko Prasetyo;Jl. Merdeka No. 15, Salatiga;@ekoprasetyo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Salatiga
136;Agus Wijaya;Jl. Pahlawan No. 10, Semarang;@aguswijaya;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Semarang
137;Maya Kartika;Jl. Pandanaran No. 15, Semarang;@mayakartika;356-3568165_blank-profile-picture-female.png;Semarang
138;Rudi Santoso;Jl. Pemuda No. 20, Semarang;@rudisantoso;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Semarang
139;Desi Kurniawati;Jl. Gajah Mada No. 25, Semarang;@desikurniawati;356-3568165_blank-profile-picture-female.png;Semarang
140;Dian Lestari;Jl. Diponegoro No. 8, Sidoarjo;@dianlestari;356-3568165_blank-profile-picture-female.png;Sidoarjo
141;Budi Santoso;Jl. Pahlawan No. 15, Sidoarjo;@budisantoso;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Sidoarjo
142;Rina Kurniawati;Jl. Ahmad Yani No. 10, Sukabumi;@rinakurniawati;356-3568165_blank-profile-picture-female.png;Sukabumi
143;Agus Setiawan;Jl. Merdeka No. 5, Sukabumi;@agussetiawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Sukabumi
144;Desi Maharani;Jl. Dipati Ukur No. 12, Sumedang;@desimaharani;356-3568165_blank-profile-picture-female.png;Sumedang
145;Rohman Gumilar;Jl. Raya Bandung No. 15, Sumedang;@rohmanG;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Sumedang
146;Arif Rahman;Jl. Sukowati No. 20, Sragen;@arifrahman;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Sragen
147;Maya Sari;Jl. Diponegoro No. 25, Sragen;@mayasari;356-3568165_blank-profile-picture-female.png;Sragen
148;Budi Prasetyo;Jl. Raya Darmo No. 10, Surabaya;@budiprasetyo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Surabaya
149;Rina Handayani;Jl. Gubeng No. 15, Surabaya;@rinahandayani;356-3568165_blank-profile-picture-female.png;Surabaya
150;Agus Wijaya;Jl. Slamet Riyadi No. 8, Surakarta;@aguswijaya;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Surakarta
151;Dian Anggraini;Jl. Adi Sucipto No. 12, Surakarta;@diananggraini;356-3568165_blank-profile-picture-female.png;Surakarta
152;Eko Pratama;Jl. MH Thamrin No. 5, Tangerang;@ekopratama;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Tangerang
153;Siti Aminah;Jl. BSD Boulevard No. 15, Tangerang;@sitiaminah;356-3568165_blank-profile-picture-female.png;Tangerang
154;Dian Rahayu;Jl. HZ Mustofa No. 10, Tasikmalaya;@dianrahayu;356-3568165_blank-profile-picture-female.png;Tasikmalaya
155;Rudi Hartono;Jl. Sutisna Senjaya No. 20, Tasikmalaya;@rudihartono;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Tasikmalaya
156;Fitri Handayani;Jl. Jenderal Sudirman No. 8, Tegal;@fitrihandayani;356-3568165_blank-profile-picture-female.png;Tegal
157;Andi Pratama;Jl. AR Hakim No. 15, Tegal;@andipratama;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Tegal
158;Desi Kurniawati;Jl. Letda Sucipto No. 10, Tuban;@desikurniawati;356-3568165_blank-profile-picture-female.png;Tuban
159;Yudi Santoso;Jl. Basuki Rahmat No. 20, Tuban;@yudisantoso;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Tuban
160;Budi Prasetyo;Jl. Panglima Sudirman No. 15, Tulungagung;@budiprasetyo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Tulungagung
161;Maya Lestari;Jl. Raya Timur No. 8, Tulungagung;@mayalestari;356-3568165_blank-profile-picture-female.png;Tulungagung
162;Agus Kurniawan;Jl. Malioboro No. 10, Yogyakarta;@aguskurniawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview.png;Yogyakarta
163;Rina Lestari;Jl. Sudirman No. 15, Yogyakarta;@rinalestari;356-3568165_blank-profile-picture-female.png;Yogyakarta
164;Dian Maharani;Jl. Kaliurang No. 20, Yogyakarta;@dianmaharani;356-3568165_blank-profile-picture-female.png;Yogyakarta
